mewebsales,Fleet Deployed-5th Fleet-Mid East Region
websale,United_States-Woodbury OMSC New York
aarias,United States-Woodbury OMSC New York
athomson,Germany-Kaiserslautern AX
awells,Okinawa-Camp Hansen
aemenike,United_States-Woodbury OMSC New York
aarneja,United States-Woodbury OMSC New York
adineen,Iraq-South Victory
amurphyt,Cuba-Guantanamo Bay NS
afalsey,Afghanistan-Camp Leatherneck
afalsey,Afghanistan-Kandahar
anigro,United States-Woodbury OMSC New York
ajones,Italy-Aviano AX
ajones,Italy-Aviano AX SRL
AK32106,Belgium-Chievres
aspiegl,Germany-Kronberg Office
aomara,United Arab Emirates-7th Fleet-Dubai Nas
aomara,United Arab Emirates-Dubai
aomara,United Arab Emirates-Jebel Ali - NEXCOM
amcfadde,Korea-Camp Humphreys
adavis,Okinawa-Kadena
adavis1,United States-Woodbury OMSC New York
avillega,United States-Woodbury OMSC New York
aquadros,United Arab Emirates-Dubai Office
afrontai,Japan-Yokosuka
acarey,Germany-Vilseck
aclarke,Germany-Landstuhl
aclarke,Germany-Ramstein H-D
aclarke,Germany-Vogelweh (Pulaski)
AGODWIN,Italy-Vicenza
alenoir,Japan-Iwakuni MCAS
amacgreg,Iraq-Iraq
amoreno,Korea-Yongsan
AOsborne,Germany-Kronberg Office
apotts,Germany-Bamberg
AKoval,United States-Woodbury OMSC New York
abouchar,United States-Woodbury OMSC New York
ADiekmann,Germany-Kronberg Office
amorgan,United_States-Woodbury OMSC New York
ahall,Korea-Yongsan
AWood,Okinawa-Foster Admin
AI339AX,Germany-Spangdahlem AX
AORourke,Afghanistan-Fenty
AORourke,Afghanistan-Manas AFB
AORourke,Afghanistan-Phoenix
AORourke,Afghanistan-Salerno
AORourke,Afghanistan-Sharana
AORourke,Africa-Djibouti
AORourke,Kuwait-Kuwait Ali Al Salim
AORourke,Kuwait-Kuwait Arifjan 1
AORourke,Kuwait-Kuwait Arifjan 6
AORourke,Kuwait-Kuwait Camp Buehring
AORourke,Kuwait-Kuwait Camp Virginia
AORourke,Kuwait-Kuwait LSA
AORourke,United Arab Emirates-7th Fleet-Dubai Nas
AORourke,United Arab Emirates-Abu Dhabi Military
AORourke,United Arab Emirates-Dubai
AORourke,United Arab Emirates-Jebel Ali - NEXCOM
agodinho,United Arab Emirates-Dubai Office
bmurphy,Bahrain-Bahrain
bmurphy,Bahrain-Bahrain Nexcom
BMarro,Switzerland-Fribourg Office
b.marro@omsfr.ch,Switzerland-Fribourg Office
bgaughra,Italy-Aviano
bkivovit,United States-Woodbury OMSC New York
BO51606,Germany-Spangdahlem
BenASO,United States-Woodbury OMSC New York
BMakepea,Korea-Camp Hovey
BSeeger,United States-Woodbury OMSC New York
bblackfo,United States-Woodbury OMSC New York
bbronner,Switzerland-Fribourg Office
BAjoy,United Arab Emirates-Dubai Office
bwireman,Germany-Grafenwoehr
